25-01-06--12-36-29

nb_nodes=20
bsz=512
dim_emb=128
dim_ff=512
dim_input_nodes=2
nb_layers_encoder=6
nb_layers_decoder=2
nb_heads=8
nb_epochs=10000
nb_batch_per_epoch=2500
nb_batch_eval=20
gpu_id=0
lr=0.0001
tol=0.001
batchnorm=True
max_len_PE=1000


Epoch: 0, epoch time: 9.745min, tot time: 0.007day, L_train: 4.159, L_base: 8.081, L_test: 4.157, gap_train(%): -100.000, update: True
Epoch: 1, epoch time: 10.406min, tot time: 0.014day, L_train: 3.942, L_base: 4.159, L_test: 3.942, gap_train(%): -100.000, update: True
Epoch: 2, epoch time: 9.781min, tot time: 0.021day, L_train: 3.902, L_base: 3.945, L_test: 3.897, gap_train(%): -100.000, update: True
Epoch: 3, epoch time: 10.078min, tot time: 0.028day, L_train: 3.886, L_base: 3.906, L_test: 3.874, gap_train(%): -100.000, update: True
Epoch: 4, epoch time: 10.033min, tot time: 0.035day, L_train: 3.870, L_base: 3.879, L_test: 3.861, gap_train(%): -100.000, update: True
Epoch: 5, epoch time: 10.095min, tot time: 0.042day, L_train: 3.862, L_base: 3.868, L_test: 3.857, gap_train(%): -100.000, update: True
Epoch: 6, epoch time: 9.549min, tot time: 0.049day, L_train: 3.872, L_base: 3.872, L_test: 3.857, gap_train(%): -100.000, update: False
Epoch: 7, epoch time: 9.703min, tot time: 0.055day, L_train: 3.862, L_base: 3.867, L_test: 3.852, gap_train(%): -100.000, update: True
Epoch: 8, epoch time: 9.560min, tot time: 0.062day, L_train: 3.860, L_base: 3.859, L_test: 3.852, gap_train(%): -100.000, update: False
Epoch: 9, epoch time: 9.678min, tot time: 0.069day, L_train: 3.860, L_base: 3.862, L_test: 3.851, gap_train(%): -100.000, update: True
Epoch: 10, epoch time: 9.794min, tot time: 0.076day, L_train: 3.857, L_base: 3.857, L_test: 3.851, gap_train(%): -100.000, update: False
Epoch: 11, epoch time: 10.169min, tot time: 0.083day, L_train: 3.855, L_base: 3.858, L_test: 3.847, gap_train(%): -100.000, update: True
Epoch: 12, epoch time: 10.302min, tot time: 0.090day, L_train: 3.855, L_base: 3.857, L_test: 3.845, gap_train(%): -100.000, update: True
Epoch: 13, epoch time: 10.002min, tot time: 0.097day, L_train: 3.853, L_base: 3.853, L_test: 3.845, gap_train(%): -100.000, update: False
Epoch: 14, epoch time: 10.303min, tot time: 0.104day, L_train: 3.857, L_base: 3.858, L_test: 3.845, gap_train(%): -100.000, update: False
Epoch: 15, epoch time: 13.109min, tot time: 0.113day, L_train: 3.856, L_base: 3.856, L_test: 3.845, gap_train(%): -100.000, update: False
Epoch: 16, epoch time: 10.159min, tot time: 0.120day, L_train: 3.848, L_base: 3.850, L_test: 3.843, gap_train(%): -100.000, update: True
Epoch: 17, epoch time: 10.018min, tot time: 0.127day, L_train: 3.851, L_base: 3.849, L_test: 3.843, gap_train(%): -100.000, update: False
Epoch: 18, epoch time: 9.796min, tot time: 0.134day, L_train: 3.861, L_base: 3.858, L_test: 3.843, gap_train(%): -100.000, update: False
Epoch: 19, epoch time: 9.612min, tot time: 0.141day, L_train: 3.850, L_base: 3.849, L_test: 3.843, gap_train(%): -100.000, update: False
Epoch: 20, epoch time: 9.227min, tot time: 0.147day, L_train: 3.845, L_base: 3.848, L_test: 3.840, gap_train(%): -100.000, update: True
Epoch: 21, epoch time: 9.795min, tot time: 0.154day, L_train: 3.850, L_base: 3.848, L_test: 3.840, gap_train(%): -100.000, update: False
Epoch: 22, epoch time: 9.865min, tot time: 0.161day, L_train: 3.846, L_base: 3.846, L_test: 3.840, gap_train(%): -100.000, update: False
Epoch: 23, epoch time: 9.654min, tot time: 0.168day, L_train: 3.846, L_base: 3.846, L_test: 3.840, gap_train(%): -100.000, update: False
Epoch: 24, epoch time: 9.180min, tot time: 0.174day, L_train: 3.848, L_base: 3.849, L_test: 3.840, gap_train(%): -100.000, update: True
Epoch: 25, epoch time: 9.295min, tot time: 0.181day, L_train: 3.844, L_base: 3.845, L_test: 3.839, gap_train(%): -100.000, update: True
Epoch: 26, epoch time: 9.488min, tot time: 0.187day, L_train: 3.847, L_base: 3.847, L_test: 3.839, gap_train(%): -100.000, update: False
Epoch: 27, epoch time: 9.714min, tot time: 0.194day, L_train: 3.851, L_base: 3.846, L_test: 3.839, gap_train(%): -100.000, update: False
Epoch: 28, epoch time: 9.678min, tot time: 0.201day, L_train: 3.847, L_base: 3.844, L_test: 3.839, gap_train(%): -100.000, update: False
Epoch: 29, epoch time: 9.527min, tot time: 0.207day, L_train: 3.849, L_base: 3.848, L_test: 3.839, gap_train(%): -100.000, update: False
Epoch: 30, epoch time: 9.143min, tot time: 0.214day, L_train: 3.843, L_base: 3.845, L_test: 3.838, gap_train(%): -100.000, update: True
Epoch: 31, epoch time: 9.026min, tot time: 0.220day, L_train: 3.845, L_base: 3.845, L_test: 3.838, gap_train(%): -100.000, update: False
Epoch: 32, epoch time: 9.110min, tot time: 0.226day, L_train: 3.843, L_base: 3.843, L_test: 3.838, gap_train(%): -100.000, update: False
Epoch: 33, epoch time: 9.076min, tot time: 0.233day, L_train: 3.845, L_base: 3.843, L_test: 3.838, gap_train(%): -100.000, update: False
Epoch: 34, epoch time: 9.126min, tot time: 0.239day, L_train: 3.843, L_base: 3.843, L_test: 3.838, gap_train(%): -100.000, update: False
Epoch: 35, epoch time: 9.151min, tot time: 0.245day, L_train: 3.844, L_base: 3.846, L_test: 3.836, gap_train(%): -100.000, update: True
Epoch: 36, epoch time: 9.114min, tot time: 0.252day, L_train: 3.846, L_base: 3.847, L_test: 3.836, gap_train(%): -100.000, update: False
Epoch: 37, epoch time: 9.283min, tot time: 0.258day, L_train: 3.844, L_base: 3.843, L_test: 3.836, gap_train(%): -100.000, update: False
Epoch: 38, epoch time: 9.146min, tot time: 0.265day, L_train: 3.843, L_base: 3.842, L_test: 3.836, gap_train(%): -100.000, update: False
Epoch: 39, epoch time: 9.109min, tot time: 0.271day, L_train: 3.840, L_base: 3.840, L_test: 3.836, gap_train(%): -100.000, update: False
Epoch: 40, epoch time: 8.921min, tot time: 0.277day, L_train: 3.847, L_base: 3.846, L_test: 3.836, gap_train(%): -100.000, update: False
Epoch: 41, epoch time: 9.276min, tot time: 0.284day, L_train: 3.842, L_base: 3.843, L_test: 3.836, gap_train(%): -100.000, update: True
Epoch: 42, epoch time: 9.013min, tot time: 0.290day, L_train: 3.846, L_base: 3.844, L_test: 3.836, gap_train(%): -100.000, update: False
Epoch: 43, epoch time: 9.107min, tot time: 0.296day, L_train: 3.840, L_base: 3.839, L_test: 3.836, gap_train(%): -100.000, update: False
Epoch: 44, epoch time: 9.071min, tot time: 0.303day, L_train: 3.843, L_base: 3.843, L_test: 3.836, gap_train(%): -100.000, update: False
Epoch: 45, epoch time: 9.468min, tot time: 0.309day, L_train: 3.845, L_base: 3.843, L_test: 3.836, gap_train(%): -100.000, update: False
